Designator,Value,MPN,LCSC,Footprint,Status,Gate
J1,HRO-TYPE-C-31-M-12,TYPE-C 16PIN 2MD(073),C2765186,USB-C-SMD_TYPE-C-16PIN-2MD-073,locked,
J2,1S-Protected-LiPo,SM02B-SRSS-TB(LF)(SN),C160404,CONN-SMD_SM02B-SRSS-TB,candidate,GATE-BATTERY-SAMPLE
U2,BQ24075RGTR,BQ24075RGTR,C15464,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,locked,
U3,MAX17048G+T10,MAX17048G+T10,C2682616,TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2,locked,
U4,TPS63070,TPS63070RNMT,C964639,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,locked,
U6,TPS22919DCK,TPS22919DCKR,C2149796,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,locked,
SW9,SlideSwitch-SPDT-JS102000-class,JS102011SAQN,C431544,SW-SMD_6P-L7.0-W3.5-P1.27-LS4.5-TL,candidate,GATE-POWER-SLIDE-SLOT
D4,LED-CHG,19-217/GHC-YR1S2/3T,C72043,LED0603-RD,locked,
R8,1k,0402WGF1001TCE,C11702,R0402,locked,
R1,5.1k,0402WGF5101TCE,C25905,R0402,locked,
R2,5.1k,0402WGF5101TCE,C25905,R0402,locked,
C1,10u,CL10A106KP8NNNC,C19702,C0603,locked,
C2,10u,CL10A106KP8NNNC,C19702,C0603,locked,
