"Reference","Value","Footprint","QUANTITY","DNP"
"J_BAT_IN1","WAFER-GH1.25-2PWB","Connector_JST:JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal","1",""
"J_BAT_OUT1","WAFER-GH1.25-2PWB","Connector_JST:JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal","1",""
"J_EXP1","WAFER-GH1.25-4PWB","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","1",""
"J_I2C1","WAFER-GH1.25-4PWB","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","1",""
"SW_ACTION1","SKQGABE010","Button_Switch_SMD:SW_SPST_SKQG_WithStem","1",""
"SW_DOWN1","SKQGABE010","Button_Switch_SMD:SW_SPST_SKQG_WithStem","1",""
"SW_LEFT1","SKQGABE010","Button_Switch_SMD:SW_SPST_SKQG_WithStem","1",""
"SW_MENU1","SKQGABE010","Button_Switch_SMD:SW_SPST_SKQG_WithStem","1",""
"SW_MUTE1","PCM12SMTR","Button_Switch_SMD:SW_SPDT_PCM12","1",""
"SW_PWR1","PCM12SMTR","Button_Switch_SMD:SW_SPDT_PCM12","1",""
"SW_RESET1","SKQGABE010","Button_Switch_SMD:SW_SPST_SKQG_WithStem","1",""
"SW_RIGHT1","SKQGABE010","Button_Switch_SMD:SW_SPST_SKQG_WithStem","1",""
"SW_UNDO1","SKQGABE010","Button_Switch_SMD:SW_SPST_SKQG_WithStem","1",""
"SW_UP1","SKQGABE010","Button_Switch_SMD:SW_SPST_SKQG_WithStem","1",""
"U1","MCP23017-E/SO","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","1",""
