Designator,Mid X,Mid Y,Layer,Rotation
J_BAT_IN1,-63.0000,-76.0000,bottom,0.0
J_BAT_OUT1,-72.3000,-58.5000,bottom,0.0
J_EXP1,-78.0000,-65.6000,bottom,0.0
J_I2C1,-63.0000,-63.0000,bottom,0.0
SW_ACTION1,77.1000,-61.1000,top,0.0
SW_DOWN1,19.7000,-77.8000,top,0.0
SW_LEFT1,10.7000,-68.8000,top,0.0
SW_MENU1,39.6000,-85.4000,top,0.0
SW_MUTE1,58.0000,-87.6500,top,0.0
SW_PWR1,20.0000,-87.6500,top,0.0
SW_RESET1,54.5000,-80.0000,top,0.0
SW_RIGHT1,28.7000,-68.8000,top,0.0
SW_UNDO1,60.4000,-65.8000,top,0.0
SW_UP1,19.7000,-59.8000,top,0.0
U1,44.3000,-72.0000,top,0.0
