Ref,Val,Package,PosX,PosY,Rot,Side
"J_BAT_IN","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",-63.000000,-76.000000,0.000000,bottom
"J_BAT_OUT","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",-78.000000,-76.000000,0.000000,bottom
"J_EXP","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",-78.000000,-63.000000,0.000000,bottom
"J_I2C","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",-63.000000,-63.000000,0.000000,bottom
"SW_ACTION","SW_SPST_SKQG_WithStem","SW_SPST_SKQG_WithStem",77.100000,-61.100000,0.000000,top
"SW_DOWN","SW_SPST_SKQG_WithStem","SW_SPST_SKQG_WithStem",19.700000,-77.800000,0.000000,top
"SW_LEFT","SW_SPST_SKQG_WithStem","SW_SPST_SKQG_WithStem",10.700000,-68.800000,0.000000,top
"SW_MENU","SW_SPST_SKQG_WithStem","SW_SPST_SKQG_WithStem",39.600000,-85.400000,0.000000,top
"SW_MUTE","SW_SPDT_PCM12","SW_SPDT_PCM12",58.000000,-87.650000,0.000000,top
"SW_PWR","SW_SPDT_PCM12","SW_SPDT_PCM12",20.000000,-87.650000,0.000000,top
"SW_RESET","SW_SPST_SKQG_WithStem","SW_SPST_SKQG_WithStem",56.500000,-80.000000,0.000000,top
"SW_RIGHT","SW_SPST_SKQG_WithStem","SW_SPST_SKQG_WithStem",28.700000,-68.800000,0.000000,top
"SW_UNDO","SW_SPST_SKQG_WithStem","SW_SPST_SKQG_WithStem",60.400000,-65.800000,0.000000,top
"SW_UP","SW_SPST_SKQG_WithStem","SW_SPST_SKQG_WithStem",19.700000,-59.800000,0.000000,top
"U1","SOIC-28W_7.5x17.9mm_P1.27mm","SOIC-28W_7.5x17.9mm_P1.27mm",45.000000,-72.000000,0.000000,top
